"VEHICLE_HAL_ID";"VEHICLE_MODEL_TYPE";"VEHICLE_MANUFACTURER_NAME";"VEHICLE_MODEL_NAME";"VEHICLE_TYPE_NAME";"VIN";"REGISTRATION_PLATE";"SERIAL_NUMBER";"KW";"FUEL_TYPE_NAME";"OWNERSHIP_TYPE";"CAPACITY_AMOUNT";"ACCESS_CONTROL_COMPONENT_TYPE";"COMPANY";"COMPANY_GROUP"
"110466";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"4467";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"110471";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"4472";"";"";"Kauf";"";"CAB 4.0";"Call a Bike";"Call a Bike"
"110574";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"4575";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"110581";"Fahrrad";"Biketec";"StadtRAD-Look";"StadtRAD";"";"";"4582";"";"";"Kauf";"";"CAB 2.0";"StadtRAD Hamburg";"Call a Bike"
"110588";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"4589";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"110596";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"4597";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"110602";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"4603";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"110605";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"4606";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"106792";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"0793";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"106819";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"0820";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"106824";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"0825";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"106828";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"0829";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"106785";"Fahrrad";"Biketec";"Konrad-Look";"Konrad";"";"";"0786";"";"";"Kauf";"";"CAB 2.0";"Konrad";"Call a Bike"
"106788";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"0789";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"106798";"Fahrrad";"Biketec";"StadtRAD-Look";"StadtRAD";"";"";"0799";"";"";"Kauf";"";"CAB 2.0";"StadtRAD Hamburg";"Call a Bike"
"110117";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"4118";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"110119";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"4120";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"110132";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"4133";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"110137";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"4138";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"106807";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"0808";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"106830";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"0831";"";"";"Kauf";"";"CAB 4.0";"Call a Bike";"Call a Bike"
"106840";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"0841";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"106841";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"0842";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"106842";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"0843";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"110467";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"4468";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"110468";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"4469";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"110627";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"4628";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"110630";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"4631";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"106790";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"0791";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"106811";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"0812";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"106817";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"0818";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"106844";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"0845";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"106845";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"0846";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"106847";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"0848";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"106860";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"0861";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"106866";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"0867";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"107941";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"1942";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"107943";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"1944";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"107956";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"1957";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"107963";"Fahrrad";"Biketec";"Konrad-Look";"Konrad";"";"";"1964";"";"";"Kauf";"";"CAB 2.0";"Konrad";"Call a Bike"
"106780";"Fahrrad";"Biketec";"StadtRAD-Look";"StadtRAD";"";"";"0781";"";"";"Kauf";"";"CAB 2.0";"StadtRAD Hamburg";"Call a Bike"
"106784";"Fahrrad";"Biketec";"StadtRAD-Look";"StadtRAD";"";"";"0785";"";"";"Kauf";"";"CAB 2.0";"StadtRAD Hamburg";"Call a Bike"
"106786";"Fahrrad";"Biketec";"StadtRAD-Look";"StadtRAD";"";"";"0787";"";"";"Kauf";"";"CAB 2.0";"StadtRAD Hamburg";"Call a Bike"
"106789";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"0790";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"106791";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"0792";"";"";"Kauf";"";"CAB 4.0";"Call a Bike";"Call a Bike"
"106794";"Fahrrad";"Biketec";"StadtRAD-Look";"StadtRAD";"";"";"0795";"";"";"Kauf";"";"CAB 2.0";"StadtRAD Hamburg";"Call a Bike"
