,No_Bookings,Population16
Hamburg,1076051,"18,10,438"
Kassel,59636,"1,99,062"
Darmstadt,78730,"1,57,437"
Frankfurt am Main,309318,"7,36,414"
Berlin,131054,"35,74,830"
Stuttgart,56263,"6,28,032"
Köln,82446,"10,75,935"
München,123533,"14,64,301"
Wiesbaden,5542,"2,77,619"
Mannheim,92,"3,04,781"
Karlsruhe,88,"3,09,999"
Bonn,153,"3,22,125"
Lübeck,49,"2,16,712"
Oberhausen,11,"2,11,382"
Kiel,353,"2,47,441"
Würzburg,42,"1,26,010"
Erlangen,26,"1,10,238"
Düsseldorf,123,"6,13,230"
Heidelberg,105,"1,59,914"
Bremen,141,"5,65,719"
Mainz,76,"2,13,528"
Rostock,13,"2,07,513"
Ingolstadt,8,"1,33,639"
Braunschweig,25,"2,48,667"
Magdeburg,33,"2,38,136"
Bielefeld,22,"3,33,451"
